"Date","Time","Global_active_power","Global_reactive_power","Global_intensity","Voltage","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"2006-12-16","18:41:00",2.27,0.054,9.6,235.27,0,1,17
"2006-12-16","18:42:00",2.258,0.054,9.6,235.12,0,1,17
"2006-12-16","18:43:00",2.188,0.068,9.2,235.8,0,1,17
"2006-12-16","18:44:00",2.978,0.166,13.2,234.81,0,1,17
"2006-12-16","18:45:00",4.2,0.174,17.8,234.38,0,1,17
"2006-12-16","18:46:00",4.204,0.186,17.8,234.2,0,1,16
"2006-12-16","18:47:00",4.218,0.178,18,233.98,0,1,17
"2006-12-16","18:48:00",2.786,0.188,12,234.99,0,2,17
"2006-12-16","18:49:00",2.54,0.088,10.8,234.67,0,4,17
"2006-12-16","18:50:00",2.496,0.08,10.6,233.92,0,3,17
"2006-12-16","18:51:00",2.336,0.07,10,233.51,0,1,16
"2006-12-16","18:52:00",2.322,0,9.8,233.44,0,0,17
"2006-12-16","18:53:00",2.448,0,10.6,233.64,0,1,17
"2006-12-16","18:54:00",4.298,0,18.4,232.39,0,1,16
"2006-12-16","18:55:00",4.23,0.09,18.2,232.25,0,1,17
"2006-12-16","18:56:00",4.23,0.09,18.2,232.32,0,2,16
"2006-12-16","18:57:00",3.924,0.084,17,232.79,0,1,17
"2006-12-16","18:58:00",4.218,0.09,18,232.09,0,1,17
"2006-12-16","18:59:00",4.224,0.09,18.2,231.96,0,1,16
"2006-12-16","19:00:00",4.07,0.088,17.4,231.99,0,1,17
"2006-12-16","19:01:00",3.612,0.09,15.6,232.36,0,2,16
"2006-12-16","19:02:00",3.458,0.09,14.8,232.71,0,1,17
"2006-12-16","19:03:00",3.434,0.09,14.8,232.01,0,1,16
"2006-12-16","19:04:00",3.366,0,14.4,232.78,0,1,17
"2006-12-16","19:05:00",3.404,0.082,14.6,233.08,0,2,16
"2006-12-16","19:06:00",3.382,0.074,14.4,233.69,0,0,17
"2006-12-16","19:07:00",3.616,0.106,15.4,234.44,0,4,17
"2006-12-16","19:08:00",3.476,0.092,14.8,234.6,0,3,17
"2006-12-16","19:09:00",3.394,0.064,14.4,235.12,0,0,17
"2006-12-16","19:10:00",3.4,0,14.4,234.28,0,1,17
"2006-12-16","19:11:00",3.414,0,14.4,234.19,0,1,17
"2006-12-16","19:12:00",3.432,0,14.6,234.69,0,1,16
"2006-12-16","19:13:00",3.418,0,14.6,234.26,0,2,17
"2006-12-16","19:14:00",3.392,0,14.4,233.3,0,1,17
"2006-12-16","19:15:00",3.394,0,14.4,233.43,0,1,17
"2006-12-16","19:16:00",3.394,0,14.4,233.45,0,1,16
"2006-12-16","19:17:00",3.406,0,14.4,233.91,0,2,17
"2006-12-16","19:18:00",3.42,0,14.6,234.43,0,1,17
"2006-12-16","19:19:00",3.418,0,14.4,234.34,0,1,17
"2006-12-16","19:20:00",3.422,0.052,14.6,234.58,0,1,17
"2006-12-16","19:21:00",3.332,0,14.2,234.02,0,1,16
"2006-12-16","19:22:00",3.316,0.046,14,234.29,0,1,17
"2006-12-16","19:23:00",3.334,0,14.2,234.36,0,2,17
"2006-12-16","19:24:00",3.262,0.052,14,232.64,0,0,17
"2006-12-16","19:25:00",3.476,0.064,14.8,232.96,0,3,16
"2006-12-16","19:26:00",3.62,0.09,15.4,233.47,0,5,17
"2006-12-16","19:27:00",3.61,0.084,15.2,234.98,0,5,17
"2006-12-16","19:28:00",3.646,0.138,15.4,234.34,0,5,17
"2006-12-16","19:29:00",3.614,0.192,15.4,233.92,0,5,17
"2006-12-16","19:30:00",3.408,0.162,14.4,233.94,0,2,16
"2006-12-16","19:31:00",3.388,0.134,14.4,233.72,0,1,17
"2006-12-16","19:32:00",3.372,0.132,14.4,233.2,0,2,17
"2006-12-16","19:33:00",3.37,0.132,14.4,233.1,0,1,16
"2006-12-16","19:34:00",3.342,0.12,14.4,232.29,0,1,17
"2006-12-16","19:35:00",3.284,0,14,232.45,0,2,16
"2006-12-16","19:36:00",3.276,0,14,231.97,0,1,17
"2006-12-16","19:37:00",3.382,0.13,14.4,232.42,0,2,17
"2006-12-16","19:38:00",3.418,0.16,14.6,233.38,0,1,16
"2006-12-16","19:39:00",3.396,0.158,14.6,232.69,0,1,17
"2006-12-16","19:40:00",3.406,0.158,14.6,233.2,0,2,16
"2006-12-16","19:41:00",3.406,0.158,14.6,233.26,0,1,17
"2006-12-16","19:42:00",3.392,0.156,14.4,232.84,0,1,17
"2006-12-16","19:43:00",3.378,0.154,14.4,232.39,0,2,16
"2006-12-16","19:44:00",3.368,0.154,14.4,232.14,0,1,17
"2006-12-16","19:45:00",3.35,0.152,14.4,231.57,0,1,16
"2006-12-16","19:46:00",3.352,0.152,14.4,231.66,0,2,17
"2006-12-16","19:47:00",3.364,0.154,14.4,232.22,0,1,16
"2006-12-16","19:48:00",3.38,0.156,14.4,232.81,0,1,17
"2006-12-16","19:49:00",3.404,0.16,14.4,233.77,0,1,17
"2006-12-16","19:50:00",3.378,0.156,14.4,232.82,0,2,16
"2006-12-16","19:51:00",3.388,0.158,14.4,233.22,0,1,17
"2006-12-16","19:52:00",3.376,0.156,14.4,232.84,0,1,17
"2006-12-16","19:53:00",3.254,0,13.8,232.75,0,0,16
"2006-12-16","19:54:00",3.214,0.078,13.8,232.64,0,0,17
"2006-12-16","19:55:00",3.202,0.078,13.8,232.2,0,0,16
"2006-12-16","19:56:00",3.202,0.078,13.8,232.2,0,0,17
"2006-12-16","19:57:00",3.212,0.078,13.8,232.58,0,0,16
"2006-12-16","19:58:00",3.206,0.078,13.8,232.4,0,0,17
"2006-12-16","19:59:00",3.214,0.078,13.8,232.66,0,0,17
"2006-12-16","20:00:00",3.206,0.078,13.8,232.43,0,0,16
"2006-12-16","20:01:00",3.222,0.078,13.8,233.02,0,0,17
"2006-12-16","20:02:00",3.216,0.076,13.8,232.8,0,0,16
"2006-12-16","20:03:00",3.216,0.078,13.8,232.79,0,0,17
"2006-12-16","20:04:00",3.194,0.078,13.6,231.98,0,0,16
"2006-12-16","20:05:00",3.278,0,14,232.88,0,0,17
"2006-12-16","20:06:00",3.282,0,14,232.52,0,0,17
"2006-12-16","20:07:00",3.292,0,14,232.87,0,0,16
"2006-12-16","20:08:00",3.316,0,14,233.78,0,0,17
"2006-12-16","20:09:00",3.37,0.08,14.4,233.69,0,0,17
"2006-12-16","20:10:00",3.42,0.144,14.6,234.04,0,0,17
"2006-12-16","20:11:00",3.41,0.142,14.6,233.93,0,0,16
"2006-12-16","20:12:00",3.4,0.14,14.4,233.62,0,0,17
"2006-12-16","20:13:00",3.4,0.14,14.4,233.64,0,0,17
"2006-12-16","20:14:00",3.388,0.14,14.4,233.26,0,0,16
"2006-12-16","20:15:00",3.37,0.086,14.4,233.9,0,0,17
"2006-12-16","20:16:00",3.332,0,14.2,233.68,0,0,17
"2006-12-16","20:17:00",3.31,0,14.2,232.83,0,0,17
"2006-12-16","20:18:00",3.312,0,14.2,233,0,0,16
"2006-12-16","20:19:00",3.314,0,14.2,233.08,0,0,17
"2006-12-16","20:20:00",3.302,0,14.2,232.69,0,0,16
"2006-12-16","20:21:00",3.302,0,14,232.91,0,0,17
"2006-12-16","20:22:00",3.3,0,14,232.87,0,0,17
"2006-12-16","20:23:00",3.29,0,14,232.42,0,0,16
"2006-12-16","20:24:00",3.286,0,14,232.31,0,0,17
"2006-12-16","20:25:00",3.23,0.052,13.8,232.79,0,0,16
"2006-12-16","20:26:00",3.218,0.078,13.8,233.05,0,0,17
"2006-12-16","20:27:00",3.258,0.076,13.8,234.57,0,0,17
"2006-12-16","20:28:00",3.264,0.076,13.8,234.79,0,0,17
"2006-12-16","20:29:00",3.26,0.076,13.8,234.6,0,0,17
"2006-12-16","20:30:00",3.262,0.076,13.8,234.54,0,0,17
"2006-12-16","20:31:00",3.264,0.076,13.8,234.6,0,0,16
"2006-12-16","20:32:00",3.238,0.076,13.8,233.77,0,0,17
"2006-12-16","20:33:00",3.228,0.078,13.8,233.5,0,0,17
"2006-12-16","20:34:00",3.222,0.078,13.8,233.27,0,0,17
"2006-12-16","20:35:00",3.226,0.078,13.8,233.37,0,0,16
"2006-12-16","20:36:00",3.206,0.078,13.6,232.64,0,0,17
"2006-12-16","20:37:00",3.188,0.08,13.6,231.95,0,0,16
"2006-12-16","20:38:00",3.196,0.08,13.6,232.21,0,0,17
"2006-12-16","20:39:00",3.204,0.078,13.6,232.5,0,0,16
"2006-12-16","20:40:00",3.232,0.078,13.8,233.63,0,0,17
"2006-12-16","20:41:00",3.254,0.074,13.8,234.43,0,0,17
"2006-12-16","20:42:00",3.376,0.05,14.4,234.63,0,0,17
"2006-12-16","20:43:00",3.372,0.048,14.2,235.05,0,0,17
"2006-12-16","20:44:00",3.366,0.048,14.2,234.96,0,0,17
"2006-12-16","20:45:00",3.386,0.05,14.2,235.77,0,0,17
"2006-12-16","20:46:00",3.496,0.146,14.8,236.76,0,0,17
"2006-12-16","20:47:00",3.426,0.146,14.6,234.59,0,0,17
"2006-12-16","20:48:00",3.44,0.148,14.6,235.13,0,0,17
"2006-12-16","20:49:00",3.44,0.146,14.6,235.14,0,0,17
"2006-12-16","20:50:00",3.454,0.15,14.6,235.75,0,0,17
"2006-12-16","20:51:00",3.45,0.15,14.6,235.69,0,0,17
"2006-12-16","20:52:00",3.48,0.154,14.6,236.86,0,0,17
"2006-12-16","20:53:00",3.474,0.152,14.6,236.72,0,0,17
"2006-12-16","20:54:00",3.456,0.15,14.6,236.05,0,0,17
"2006-12-16","20:55:00",1.832,0.17,8.4,237.54,0,0,17
"2006-12-16","20:56:00",2.044,0.102,9.4,237.44,0,0,18
"2006-12-16","20:57:00",3.354,0,14,237,0,0,17
"2006-12-16","20:58:00",3.282,0.074,13.8,235.55,0,0,17
"2006-12-16","20:59:00",3.308,0.074,14,236.51,0,0,17
"2006-12-16","21:00:00",3.314,0.072,14,236.76,0,0,17
"2006-12-16","21:01:00",3.306,0.072,13.8,237.11,0,0,17
"2006-12-16","21:02:00",1.692,0.054,7.8,238.72,0,0,18
"2006-12-16","21:03:00",3.342,0.07,14,237.66,0,0,17
"2006-12-16","21:04:00",3.354,0.07,14,238.2,0,0,17
"2006-12-16","21:05:00",3.334,0.072,14,237.46,0,0,18
"2006-12-16","21:06:00",3.33,0.072,14,237.36,0,0,17
"2006-12-16","21:07:00",2.74,0.064,12,238.13,0,0,17
"2006-12-16","21:08:00",2.188,0.06,10,237.74,0,0,18
"2006-12-16","21:09:00",3.33,0.07,14,237.26,0,0,17
"2006-12-16","21:10:00",3.34,0.07,14,237.69,0,0,17
"2006-12-16","21:11:00",3.306,0.072,14,236.44,0,0,17
"2006-12-16","21:12:00",3.044,0.072,13.2,236.23,0,0,17
"2006-12-16","21:13:00",1.766,0.058,8.2,237.7,0,0,18
"2006-12-16","21:14:00",3.376,0,14.2,235.73,0,0,17
"2006-12-16","21:15:00",3.414,0.052,14.4,236.51,0,0,17
"2006-12-16","21:16:00",3.426,0.054,14.4,237.11,0,0,17
"2006-12-16","21:17:00",3.42,0.054,14.4,237.06,0,0,17
"2006-12-16","21:18:00",1.876,0.074,8.6,238.63,0,0,18
"2006-12-16","21:19:00",3.442,0.056,14.4,237.58,0,0,17
"2006-12-16","21:20:00",3.414,0.054,14.4,236.87,0,0,17
"2006-12-16","21:21:00",3.412,0.056,14.4,236.94,0,0,17
"2006-12-16","21:22:00",2.542,0.068,11.4,238.17,0,0,18
"2006-12-16","21:23:00",2.82,0.062,12.4,237.42,0,0,17
"2006-12-16","21:24:00",3.41,0.054,14.4,236.91,0,0,17
"2006-12-16","21:25:00",3.392,0.052,14.2,236.24,0,0,17
"2006-12-16","21:26:00",2.878,0.06,12.6,237.17,0,0,17
"2006-12-16","21:27:00",1.848,0.112,8.4,238.59,0,0,18
"2006-12-16","21:28:00",3.494,0.144,14.6,237.43,0,0,17
"2006-12-16","21:29:00",3.42,0,14.2,237.73,0,0,17
"2006-12-16","21:30:00",3.226,0,13.8,237.2,0,0,18
"2006-12-16","21:31:00",1.948,0,9,238.41,0,0,17
"2006-12-16","21:32:00",3.392,0,14.2,236.6,0,0,17
"2006-12-16","21:33:00",3.368,0,14.2,236.12,0,0,17
"2006-12-16","21:34:00",3.378,0,14.2,236.54,0,0,17
"2006-12-16","21:35:00",1.872,0,8.6,238.48,0,0,18
"2006-12-16","21:36:00",3.212,0,13.6,237.27,0,0,17
"2006-12-16","21:37:00",3.346,0,14,237.06,0,0,17
"2006-12-16","21:38:00",3.308,0.072,14,236.49,0,0,17
"2006-12-16","21:39:00",3.302,0.072,13.8,236.28,0,0,17
"2006-12-16","21:40:00",2.36,0.064,10.8,236.89,0,0,18
"2006-12-16","21:41:00",2.652,0.046,11.8,236.64,0,0,17
"2006-12-16","21:42:00",3.392,0,14.2,236.58,0,1,17
"2006-12-16","21:43:00",3.398,0,14.2,236.83,0,2,17
"2006-12-16","21:44:00",3.424,0.046,14.4,237.75,0,1,17
"2006-12-16","21:45:00",1.86,0.066,8.4,239.69,0,2,18
"2006-12-16","21:46:00",3.25,0.082,13.8,238.95,0,1,17
"2006-12-16","21:47:00",3.502,0.172,14.8,236.46,0,1,18
"2006-12-16","21:48:00",3.484,0.17,14.6,235.98,0,2,17
"2006-12-16","21:49:00",3.478,0.168,14.6,235.85,0,1,17
"2006-12-16","21:50:00",1.696,0.194,7.6,238.19,0,2,17
"2006-12-16","21:51:00",3.494,0.17,14.8,236.28,0,1,17
"2006-12-16","21:52:00",3.482,0.17,14.6,236.4,0,1,17
"2006-12-16","21:53:00",3.48,0.17,14.6,236.46,0,2,17
"2006-12-16","21:54:00",3.474,0.168,14.6,236.28,0,1,17
"2006-12-16","21:55:00",2.308,0.184,10.6,237.33,0,1,18
"2006-12-16","21:56:00",2.926,0.178,12.8,237.09,0,2,17
"2006-12-16","21:57:00",3.472,0.17,14.6,236.39,0,1,17
"2006-12-16","21:58:00",3.48,0.17,14.6,236.75,0,1,17
"2006-12-16","21:59:00",3.454,0.168,14.6,235.73,0,2,17
"2006-12-16","22:00:00",3.464,0.17,14.6,236.03,0,1,17
"2006-12-16","22:01:00",1.786,0.096,8.2,237.68,0,1,18
"2006-12-16","22:02:00",3.182,0,13.6,235.99,0,1,17
"2006-12-16","22:03:00",3.378,0,14.2,236.26,0,2,17
"2006-12-16","22:04:00",3.372,0,14.2,236.03,0,1,17
"2006-12-16","22:05:00",3.362,0,14.2,235.7,0,1,17
"2006-12-16","22:06:00",3.112,0,13.4,236.08,0,1,17
"2006-12-16","22:07:00",1.614,0.056,7.4,237.31,0,0,17
"2006-12-16","22:08:00",3.358,0,14.2,236.14,0,0,17
"2006-12-16","22:09:00",3.388,0,14.2,236.61,0,0,17
"2006-12-16","22:10:00",3.392,0,14.2,236.93,0,0,17
"2006-12-16","22:11:00",2.81,0,12.4,237.97,0,0,18
"2006-12-16","22:12:00",2.18,0,10,238.02,0,0,17
"2006-12-16","22:13:00",3.37,0,14.2,236.06,0,0,17
"2006-12-16","22:14:00",3.326,0,14,234.45,0,0,17
"2006-12-16","22:15:00",2.778,0,12,235.31,0,0,9
"2006-12-16","22:16:00",2.358,0,9.8,237.1,0,0,0
"2006-12-16","22:17:00",0.96,0.054,5.6,238.68,0,0,0
"2006-12-16","22:18:00",1.606,0,7.8,238.76,0,0,0
"2006-12-16","22:19:00",2.35,0,9.8,238.59,0,0,0
"2006-12-16","22:20:00",2.428,0.068,10,238.87,0,0,0
"2006-12-16","22:21:00",2.078,0.072,9.2,238.97,0,0,0
"2006-12-16","22:22:00",0.78,0.09,4.6,239.93,0,0,0
"2006-12-16","22:23:00",2.426,0.068,10,239.05,0,0,0
"2006-12-16","22:24:00",2.412,0.066,10,238.46,0,0,0
"2006-12-16","22:25:00",2.428,0.07,10,239.68,0,0,0
"2006-12-16","22:26:00",1.53,0.084,7.6,240.72,0,0,0
"2006-12-16","22:27:00",1.388,0.086,7.2,240.87,0,0,0
"2006-12-16","22:28:00",2.424,0.07,10,239.71,0,0,0
"2006-12-16","22:29:00",2.428,0.072,10,239.89,0,0,0
"2006-12-16","22:30:00",2.388,0.07,10,239.48,0,0,0
"2006-12-16","22:31:00",0.376,0.1,1.6,241.64,0,0,0
"2006-12-16","22:32:00",2.202,0.074,9.6,240.07,0,0,0
"2006-12-16","22:33:00",2.43,0.07,10,239.77,0,0,0
"2006-12-16","22:34:00",2.346,0.052,9.6,240.05,0,0,0
"2006-12-16","22:35:00",1.916,0.054,8.6,239.75,0,0,0
"2006-12-16","22:36:00",0.384,0,2.4,240.58,0,0,0
"2006-12-16","22:37:00",2.334,0.06,9.6,239.2,0,0,0
"2006-12-16","22:38:00",2.32,0.06,9.6,238.84,0,0,0
"2006-12-16","22:39:00",2.306,0.062,9.6,238.39,0,0,0
"2006-12-16","22:40:00",2.306,0.064,9.6,238.39,0,0,0
"2006-12-16","22:41:00",0.436,0,2.8,241.06,0,0,0
"2006-12-16","22:42:00",1.584,0.05,7.8,240.89,0,0,0
"2006-12-16","22:43:00",2.328,0.062,9.6,239.46,0,0,0
"2006-12-16","22:44:00",2.326,0.062,9.6,239.27,0,0,0
"2006-12-16","22:45:00",2.334,0.06,9.6,239.57,0,0,0
"2006-12-16","22:46:00",1.846,0.054,8.4,239.99,0,0,0
"2006-12-16","22:47:00",0.284,0,1.2,242.04,0,0,0
"2006-12-16","22:48:00",2.342,0.06,9.8,239.89,0,0,0
"2006-12-16","22:49:00",2.392,0,10,239.91,0,0,0
"2006-12-16","22:50:00",2.414,0,10,240.02,0,0,0
"2006-12-16","22:51:00",2.414,0,10,239.97,0,0,0
"2006-12-16","22:52:00",0.754,0.086,4.4,241.27,0,0,0
"2006-12-16","22:53:00",1.42,0.178,7.4,238.64,0,0,0
"2006-12-16","22:54:00",2.468,0.162,10.4,237.47,0,0,0
"2006-12-16","22:55:00",2.474,0.164,10.4,238.05,0,0,0
"2006-12-16","22:56:00",2.488,0.168,10.4,239.03,0,0,0
"2006-12-16","22:57:00",1.81,0.182,8.6,240.28,0,0,0
"2006-12-16","22:58:00",0.674,0.2,4,241.36,0,0,0
"2006-12-16","22:59:00",2.444,0.094,10.2,239.42,0,0,0
"2006-12-16","23:00:00",2.41,0.068,10,238.9,0,0,0
"2006-12-16","23:01:00",2.412,0.07,10,239.13,0,0,0
"2006-12-16","23:02:00",2.206,0.072,9.4,239.37,0,0,0
"2006-12-16","23:03:00",0.37,0.1,1.6,241.58,0,0,0
"2006-12-16","23:04:00",2.104,0.076,9.2,240.11,0,0,0
"2006-12-16","23:05:00",2.404,0.068,10,238.73,0,0,0
"2006-12-16","23:06:00",2.418,0.07,10,239.52,0,0,0
"2006-12-16","23:07:00",2.342,0,9.6,239.74,0,0,0
"2006-12-16","23:08:00",1.262,0.046,6.8,240.96,0,0,0
"2006-12-16","23:09:00",0.852,0,5.2,241.64,0,0,0
"2006-12-16","23:10:00",2.34,0.06,9.6,240.05,0,0,0
"2006-12-16","23:11:00",2.336,0.06,9.6,240.07,0,0,0
"2006-12-16","23:12:00",2.334,0.06,9.6,239.99,0,0,0
"2006-12-16","23:13:00",2.33,0.06,9.6,239.74,0,0,0
"2006-12-16","23:14:00",1.038,0,6,241.17,0,0,0
"2006-12-16","23:15:00",0.386,0,2.4,242.39,0,0,0
"2006-12-16","23:16:00",2.35,0.06,9.6,240.41,0,0,0
"2006-12-16","23:17:00",2.346,0.06,9.6,240.5,0,0,0
"2006-12-16","23:18:00",2.346,0.06,9.6,240.55,0,0,0
"2006-12-16","23:19:00",1.834,0.052,8.4,240.97,0,0,0
"2006-12-16","23:20:00",1.222,0.046,6.6,241.58,0,0,0
"2006-12-16","23:21:00",2.342,0.06,9.6,240.21,0,0,0
"2006-12-16","23:22:00",2.334,0.06,9.6,239.98,0,0,0
"2006-12-16","23:23:00",1.666,0.052,8,240.65,0,0,0
"2006-12-16","23:24:00",1.198,0,6.6,241.68,0,0,0
"2006-12-16","23:25:00",2.35,0.058,9.6,240.7,0,0,0
"2006-12-16","23:26:00",2.398,0,9.8,240.7,0,0,0
"2006-12-16","23:27:00",2.444,0.072,10.2,240.11,0,0,0
"2006-12-16","23:28:00",0.406,0.098,2,241.71,0,0,0
"2006-12-16","23:29:00",2.434,0.072,10,240.13,0,0,0
"2006-12-16","23:30:00",2.502,0.136,10.4,240.24,0,0,0
"2006-12-16","23:31:00",2.518,0.176,10.4,240.53,0,0,0
"2006-12-16","23:32:00",1.516,0.19,7.6,241.36,0,0,0
"2006-12-16","23:33:00",1.498,0.188,7.6,241.02,0,0,0
"2006-12-16","23:34:00",2.508,0.174,10.4,240.06,0,0,0
"2006-12-16","23:35:00",2.504,0.174,10.4,240.09,0,0,0
"2006-12-16","23:36:00",2.492,0.172,10.4,239.49,0,0,0
"2006-12-16","23:37:00",0.814,0.204,4.8,242.16,0,0,0
"2006-12-16","23:38:00",2.304,0.18,9.8,240.95,0,0,0
"2006-12-16","23:39:00",2.53,0.182,10.4,241.74,0,0,0
"2006-12-16","23:40:00",2.378,0,9.8,241.18,0,0,0
"2006-12-16","23:41:00",0.384,0,2.4,243.73,0,0,0
"2006-12-16","23:42:00",2.37,0.058,9.8,241.48,0,0,0
"2006-12-16","23:43:00",2.358,0.058,9.6,241.13,0,0,0
"2006-12-16","23:44:00",2.352,0.058,9.6,240.96,0,0,0
"2006-12-16","23:45:00",0.416,0,2.4,242.94,0,0,0
"2006-12-16","23:46:00",2.654,0.062,11,240.74,0,0,0
"2006-12-16","23:47:00",2.54,0.06,10.4,241.23,0,0,0
"2006-12-16","23:48:00",2.526,0.058,10.8,241.79,0,0,0
"2006-12-16","23:49:00",1.206,0,5.4,241.83,0,0,0
"2006-12-16","23:50:00",3.844,0.148,16.6,238.71,0,0,0
"2006-12-16","23:51:00",4.122,0.14,17.6,237.99,0,0,0
"2006-12-16","23:52:00",3.458,0,14.8,238.89,0,0,0
"2006-12-16","23:53:00",1.988,0.05,9.2,240.26,0,0,0
"2006-12-16","23:54:00",0.596,0,2.4,240.88,0,0,0
"2006-12-16","23:55:00",1.29,0,6.8,240.69,0,0,0
"2006-12-16","23:56:00",2.73,0.06,11.4,239.43,0,1,0
"2006-12-16","23:57:00",2.734,0.062,11.4,239.81,0,2,0
"2006-12-16","23:58:00",2.764,0.066,11.4,241.27,0,1,0
